prompt_id,image_name,model_name,gt_object,gt_distance_m,gt_direction,gt_scene,parse_success,found_predicted,found_score,predicted_distance_meters,predicted_direction_o_clock,score_object_location_desc,score_object_location_detailed,score_distance,score_direction,score_navigation,score_hand_guidance,score_fallback,total_score,max_score,percentage,parse_error
12,0012_0001058-000043637832.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,3.4,3 o'clock,corridor,TRUE,TRUE,5,3,10,3,0,4,2,0,0,0,14,40,35.00%,
13,0013_000107_2014-04-14_00-03-38_094959634447_rgbf000052-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Floorlamp,2.34,4 o'clock,living_room,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
14,0014_0005514-000184823068.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chairs,1.37,4 o'clock,classroom,TRUE,TRUE,5,1,9,5,4,2,2,4,5,4,31,40,77.50%,
15,0015_003542_2014-05-22_15-37-06_094959634447_rgbf000100-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.31,3 o'clock,classroom,TRUE,TRUE,5,0.5,3,4,4,0,5,4,5,3,30,40,75.00%,
16,0016_003359_2014-05-20_14-08-56_094959634447_rgbf000050-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,CHAIR,1.62,3 o'clock,dining_area,TRUE,TRUE,5,0.5,east,4,3,0,3,4,5,4,28,40,70.00%,
17,0017_0007468-000327386648.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,MUG,0.86,3 o'clock,bathroom,TRUE,TRUE,5,0.3,9,3,2,0,2,3,4,4,23,40,57.50%,
18,0018_000122_2014-04-13_23-36-57_094959634447_rgbf000223-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.59,3 o'clock,bedroom,TRUE,TRUE,5,1.5,9,4,4,4,2,4,5,4,32,40,80.00%,
19,0019_001011_2014-06-08_23-18-54_260595134347_rgbf000044-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,book,2.37,3 o'clock,office,TRUE,TRUE,5,0.5,9,2,1,1,2,4,4,5,24,40,60.00%,
20,0020_000978_2014-06-08_16-49-11_260595134347_rgbf000059-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,filecabinet,3.74,3 o'clock,corridor,TRUE,TRUE,5,2,9,2,3,2,2,4,5,4,27,40,67.50%,
21,0021_0001521-000050944320.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair3,1.39,3 o'clock,discussion_area,TRUE,TRUE,5,0.7,3,4,3,1,5,4,5,4,31,40,77.50%,
22,0022_002607_2014-06-24_14-29-46_094959634447_rgbf000059-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,4.84,4 o'clock,lecture_theatre,TRUE,TRUE,5,0.5,9,2,3,0,1,4,4,5,24,40,60.00%,
23,0023_000057_2014-05-14_23-13-06_260595134347_rgbf000413-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,BOOK,1.96,3 o'clock,bedroom,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
24,0024_001858_2014-06-22_13-40-10_260595134347_rgbf000120-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Lamp,3.69,2 o'clock,furniture_store,TRUE,TRUE,5,2,9,2,3,2,1,4,4,3,24,40,60.00%,
25,0025_000497_2014-06-08_22-50-55_260595134347_rgbf000033-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,2.1,2 o'clock,discussion_area,TRUE,TRUE,5,1.5,6,4,4,3,2,4,5,4,31,40,77.50%,
26,0026_000987_2014-06-08_16-59-05_260595134347_rgbf000081-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.81,3 o'clock,corridor,TRUE,TRUE,5,1.5,9,4,0,3,2,4,5,0,23,40,57.50%,
27,0027_0000944-000031605588.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,lamp,0.86,2 o'clock,bedroom,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
28,0028_001131_2014-06-17_14-48-26_260595134347_rgbf000101-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.04,3 o'clock,dining_room,TRUE,TRUE,5,2,8,4,3,5,2,4,4,3,30,40,75.00%,
29,0029_000391_2014-06-08_23-06-55_260595134347_rgbf000125-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,cushionchair,0.95,2 o'clock,conference_room,TRUE,FALSE,0,,,0,4,0,0,4,5,4,17,40,42.50%,
30,0030_2014-12-18_14-13-03_260595134347.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,6.78,4 o'clock,corridor,TRUE,TRUE,5,0.5,9,1,2,0,2,2,2,4,18,40,45.00%,
31,0031_002276_2014-06-28_18-54-45_260595134347_rgbf000040-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,DoorPushBar,1.72,4 o'clock,furniture_store,TRUE,TRUE,5,0.5,9,2,3,0,1,4,4,5,24,40,60.00%,
32,0032_2014_10_27-15_35_49-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.82,3 o'clock,rest_space,TRUE,TRUE,5,1.5,7,4,3,3,2,4,4,5,30,40,75.00%,
33,0033_001525_2014-06-20_16-45-04_260595134347_rgbf000062-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.08,4 o'clock,computer_room,TRUE,TRUE,5,1.5,6,4,3,1,2,4,5,0,24,40,60.00%,
34,0034_2014_10_27-15_34_16-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.56,4 o'clock,rest_space,TRUE,TRUE,5,0.5,9,3,3,0,2,4,4,4,25,40,62.50%,
35,0035_002704_2014-06-22_11-30-07_094959634447_rgbf000096-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,0.63,2 o'clock,bathroom,TRUE,FALSE,0,,,0,4,0,0,3,5,4,16,40,40.00%,
36,0036_2014_10_23-15_17_14-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.1,3 o'clock,library,TRUE,TRUE,5,0.5,10,4,3,0,2,4,4,5,27,40,67.50%,
37,0037_002161_2014-06-27_23-55-55_260595134347_rgbf000050-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.1,2 o'clock,hotel_room,TRUE,TRUE,5,0.5,10,3,3,0,1,4,5,0,21,40,52.50%,
38,0038_img_0200.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,doorway,0.59,4 o'clock,corridor,TRUE,TRUE,5,0.5,9,4,0,3,2,0,0,0,14,40,35.00%,
39,0039_000818_2014-06-08_23-03-59_260595134347_rgbf000134-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.94,3 o'clock,rest_space,TRUE,TRUE,5,0.5,9,4,3,0,2,3,4,3,24,40,60.00%,
40,0040_002554_2014-06-24_13-46-38_094959634447_rgbf000078-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.26,2 o'clock,computer_room,TRUE,TRUE,5,0.5,10,4,4,0,2,4,5,4,28,40,70.00%,
41,0041_000327_2014-06-02_15-29-50_260595134347_rgbf000057-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,cabinet,1.4,4 o'clock,furniture_store,TRUE,TRUE,5,0.3,9,2,1,0,1,2,4,3,18,40,45.00%,
42,0042_000491_2014-06-09_21-00-04_260595134347_rgbf000116-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,0,9 o'clock,corridor,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
43,0043_2014_12_18_16_23_46.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,CHAIR,2.28,3 o'clock,dining_area,TRUE,TRUE,5,,8,5,4,0,2,4,5,0,25,40,62.50%,
44,0044_001564_2014-06-20_17-17-38_260595134347_rgbf000077-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,armchair,2.03,3 o'clock,rest_space,TRUE,TRUE,5,0.5,12,4,1,1,1,4,5,4,25,40,62.50%,
45,0045_0001571-000052620120.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,2.73,2 o'clock,corridor,TRUE,TRUE,5,0.5,267,2,3,0,1,4,5,4,24,40,60.00%,
46,0046_000112_2014-05-16_20-05-47_260595134347_rgbf000543-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,3.78,3 o'clock,living_room,TRUE,TRUE,5,0.5,9,4,3,0,2,4,5,4,27,40,67.50%,
47,0047_000934_2014-06-09_16-42-44_260595134347_rgbf000143-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.66,4 o'clock,office,TRUE,TRUE,5,0.3,9,3,3,0,1,3,4,4,23,40,57.50%,
48,0048_001043_2014-06-08_18-29-23_260595134347_rgbf000095-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Counter/Cabinets,1.99,3 o'clock,office_kitchen,TRUE,TRUE,5,0.5,10,4,4,0,2,4,5,5,29,40,72.50%,
49,0049_001810_2014-06-26_20-51-35_260595134347_rgbf000040-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Lamp,2.6,4 o'clock,furniture_store,TRUE,TRUE,5,0.5,9,2,2,0,1,4,4,5,23,40,57.50%,
50,0050_0005481-000320109985.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Book,2,4 o'clock,bedroom,TRUE,FALSE,0,,,0,1,0,0,4,4,5,14,40,35.00%,
51,0051_img_0255.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,mug,1.15,2 o'clock,office,TRUE,TRUE,5,0.5,9,5,3,0,2,4,5,4,28,40,70.00%,
52,0052_003355_2014-05-20_14-07-17_094959634447_rgbf000099-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,mug,1.45,3 o'clock,dining_area,TRUE,TRUE,5,0.5,9,4,2,0,2,4,5,4,26,40,65.00%,
53,0053_2014_10_21-11_40_29-1311000041.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.92,3 o'clock,office,TRUE,TRUE,5,0.6,11,4,3,0,2,4,4,4,26,40,65.00%,
54,0054_0001708-000074874744.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.97,2 o'clock,bedroom,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
55,0055_0007687-000257637492.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.65,3 o'clock,office,TRUE,TRUE,5,0.5,8,4,3,0,2,4,4,4,26,40,65.00%,
56,0056_001432_2014-06-19_16-51-16_260595134347_rgbf000077-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.91,3 o'clock,study_space,TRUE,TRUE,5,0.5,6,4,4,0,2,4,5,4,28,40,70.00%,
57,0057_000168_2014-05-12_16-15-57_260595134347_rgbf000289-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,bedsidelamp,3.46,3 o'clock,bedroom,TRUE,TRUE,5,2,9,4,4,2,9,4,5,4,37,40,92.50%,
58,0058_000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.61,4 o'clock,dining_area,TRUE,TRUE,5,0.5,6,3,2,0,2,4,5,3,24,40,60.00%,
59,0059_002668_2014-06-13_16-03-41_094959634447_rgbf000150-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.9,2 o'clock,library,TRUE,TRUE,5,,,4,4,0,2,4,5,4,28,40,70.00%,
60,0060_2014_10_26-15_30_41-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,tablelamp,1.76,2 o'clock,library,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
61,0061_001358_2014-06-19_15-47-34_260595134347_rgbf000028-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,DOOR,-1.12,9 o'clock,rest_space,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
62,0062_000237_2014-06-02_15-55-24_260595134347_rgbf000041-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,book,1.7,4 o'clock,furniture_store,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
63,0063_0010914-000365793624.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,MUG,0.77,3 o'clock,bedroom,TRUE,TRUE,5,0.5,10,5,4,1,2,4,5,4,30,40,75.00%,
64,0064_002832_2014-06-22_20-36-41_094959634447_rgbf000083-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,cabinet,1.77,3 o'clock,kitchen,TRUE,TRUE,5,0.5,6,4,3,0,2,4,5,4,27,40,67.50%,
65,0065_003540_2014-05-22_15-36-23_094959634447_rgbf000100-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.61,3 o'clock,classroom,TRUE,TRUE,5,1.5,3,4,3,4,5,4,5,4,34,40,85.00%,
66,0066_0000535-000017960678.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,cabinet,3.37,4 o'clock,lab,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
67,0067_2014_10_25-17_54_32-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.83,3 o'clock,office,TRUE,TRUE,5,,9,4,3,0,9,4,4,5,34,40,85.00%,
68,0068_img_0199.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Door,1,3 o'clock,idk,TRUE,TRUE,5,0.5,9,5,4,1,9,5,5,4,38,40,95.00%,
69,0069_img_0255.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,mug,1.15,2 o'clock,office,TRUE,TRUE,5,0.5,9,4,4,0,2,4,5,4,28,40,70.00%,
70,0070_001268_2014-06-16_16-11-51_260595134347_rgbf000095-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Book,1.59,3 o'clock,office,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
71,0071_000263_2014-06-02_14-42-31_260595134347_rgbf000012-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,lamp,2.55,4 o'clock,furniture_store,TRUE,TRUE,5,0.8,9,4,2,1,2,4,5,4,27,40,67.50%,
72,0072_001400_2014-06-19_16-12-11_260595134347_rgbf000067-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,bookcase,2.29,3 o'clock,library,TRUE,TRUE,5,0.5,9,2,3,1,1,4,4,5,25,40,62.50%,
73,0073_002915_2014-06-03_18-10-55_094959634447_rgbf000307-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chairwithbuiltindesk,1.52,3 o'clock,library,TRUE,TRUE,5,0.5,6,4,4,0,2,3,4,5,27,40,67.50%,
74,0074_000698_2014-06-08_13-19-57_260595134347_rgbf000072-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,cabinetdrawer,2.29,3 o'clock,office,TRUE,TRUE,5,0.5,9,2,3,1,2,4,4,3,24,40,60.00%,
75,0075_0000174-000005798268.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Cabinet,3.81,4 o'clock,corridor,TRUE,TRUE,5,3.5,9,2,2,5,2,3,4,4,27,40,67.50%,
76,0076_0007570-000253692959.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,mug,1.49,3 o'clock,living_room,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
77,0077_002727_2014-06-22_11-49-24_094959634447_rgbf000025-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chairleg,0.53,4 o'clock,classroom,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
78,0078_0001708-000074874744.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.97,2 o'clock,bedroom,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
79,0079_0001184-000039663075.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,books,2.07,3 o'clock,bedroom,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
80,0080_000362_2014-06-09_20-57-02_260595134347_rgbf000076-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.42,2 o'clock,lecture_theatre,TRUE,TRUE,5,,9,4,4,0,2,4,5,3,27,40,67.50%,
81,0081_001214_2014-06-17_16-13-55_260595134347_rgbf000111-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,2.01,4 o'clock,study_space,TRUE,TRUE,5,0.5,9,2,4,1,1,4,4,3,24,40,60.00%,
82,0082_2014_10_25-17_23_54-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chairs,1.14,4 o'clock,lecture_theatre,TRUE,TRUE,5,0.5,10,5,3,0,2,4,5,4,28,40,70.00%,
83,0083_2014_12_18_13_58_10.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.29,4 o'clock,dining_area,TRUE,TRUE,5,0.5,9,4,3,0,2,4,4,4,26,40,65.00%,
84,0084_0001598-000053548626.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Cabinet,4.92,4 o'clock,classroom,TRUE,TRUE,5,2,9,2,2,2,1,3,4,0,19,40,47.50%,
85,0085_000309_2014-06-02_15-07-56_260595134347_rgbf000604-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.1,3 o'clock,furniture_store,TRUE,TRUE,5,,9,2,4,0,1,4,5,4,25,40,62.50%,
86,0086_001663_2014-06-20_12-20-11_260595134347_rgbf000072-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair1,2.39,2 o'clock,discussion_area,TRUE,TRUE,5,0.5,9,3,1,1,2,3,4,4,23,40,57.50%,
87,0087_000938_2014-06-09_16-56-54_260595134347_rgbf000138-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,filecabinet,2.13,3 o'clock,office,TRUE,TRUE,5,1.5,10,4,4,3,2,4,5,4,31,40,77.50%,
88,0088_0007855-000350046626.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,glassdoor,0.95,3 o'clock,rest_space,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
89,0089_2014_12_18_16_27_23.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,CHAIR,1.34,4 o'clock,dining_area,TRUE,TRUE,5,,,4,3,0,4,4,4,3,27,40,67.50%,
90,0090_000602_2014-06-09_16-48-52_260595134347_rgbf000117-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.58,3 o'clock,office,TRUE,TRUE,5,0.5,9,4,4,0,2,4,5,5,29,40,72.50%,
91,0091_000080_2014-05-14_21-36-38_260595134347_rgbf000132-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.14,2 o'clock,library,TRUE,TRUE,5,,,4,4,0,2,4,5,4,28,40,70.00%,
92,0092_000800_2014-06-08_22-42-09_260595134347_rgbf000095-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,mug,1.14,2 o'clock,rest_space,TRUE,TRUE,5,0.5,11,2,2,0,1,4,5,4,23,40,57.50%,
93,0093_001884_2014-06-22_13-51-32_260595134347_rgbf000021-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,lampleg,0.34,2 o'clock,furniture_store,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
94,0094_000706_2014-06-08_13-28-04_260595134347_rgbf000198-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2,3 o'clock,office,TRUE,TRUE,5,2,9,4,4,5,2,4,5,4,33,40,82.50%,
95,0095_2014_12_18-16_15_00-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.05,2 o'clock,rest_space,TRUE,TRUE,5,0.2,9,2,0,0,1,0,0,0,8,40,20.00%,
96,0096_001682_2014-06-26_19-14-45_260595134347_rgbf000081-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,1.26,4 o'clock,furniture_store,TRUE,FALSE,0,,,0,0,0,0,4,5,0,9,40,22.50%,
97,0097_000710_2014-06-08_13-52-16_260595134347_rgbf000293-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Lamp,0.64,3 o'clock,office,TRUE,FALSE,0,,,0,0,0,0,3,4,0,7,40,17.50%,
98,0098_001104_2014-06-15_18-19-35_260595134347_rgbf000042-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,cabinetknob,1.31,4 o'clock,kitchen,TRUE,TRUE,5,0.2,8,3,4,0,2,4,5,4,27,40,67.50%,
99,0099_0002407-000081615120.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,door,3.66,4 o'clock,kitchen,TRUE,TRUE,5,2,9,2,4,2,9,4,5,0,31,40,77.50%,
