rank,object_name,count,percentage,instance_count
173,TrashCan,101,0.06,110
174,toiletpaper,100,0.06,106
175,waterbottle,99,0.06,113
176,chair2,98,0.06,98
177,Rug,98,0.06,134
178,Bottle,97,0.06,148
179,Person,97,0.06,139
180,eraser,96,0.05,109
181,pot,96,0.05,106
182,heater,95,0.05,119
183,switchboard,95,0.05,98
184,filecabinet,95,0.05,128
185,pictureframe,95,0.05,106
186,BOOK,95,0.05,119
187,fan,93,0.05,95
188,bathtub,92,0.05,94
189,chalkboard,92,0.05,100
190,wall1,92,0.05,95
191,doll,91,0.05,91
192,armchair,90,0.05,113
193,file,89,0.05,89
194,remote,89,0.05,93
195,dustbin,89,0.05,92
196,PAPER,88,0.05,99
197,papertowel,87,0.05,88
198,placemat,86,0.05,88
199,photoframe,86,0.05,91
200,flowerpot,85,0.05,89
201,firealarm,84,0.05,84
202,thermostat,84,0.05,83
203,Sink,84,0.05,105
204,chair1,84,0.05,86
205,cushion,84,0.05,143
206,Bag,83,0.05,92
207,tabletop,82,0.05,92
208,CEILING,82,0.05,84
209,wood,82,0.05,93
210,Trashcan,81,0.05,103
211,tv,81,0.05,81
212,Painting,81,0.05,88
213,BOX,80,0.05,80
214,tile,79,0.05,102
215,candle,78,0.04,86
216,Whiteboard,78,0.04,82
217,Pillar,78,0.04,115
218,marker,77,0.04,83
219,filingcabinet,77,0.04,86
220,podium,77,0.04,85
221,drain,76,0.04,79
222,fridge,76,0.04,78
223,doorhandle,76,0.04,83
224,Printer,76,0.04,81
225,cabinetdoor,76,0.04,95
226,plantpot,75,0.04,80
227,napkin,75,0.04,76
228,SOFA,75,0.04,78
229,PriceTag,74,0.04,113
230,bucket,73,0.04,84
231,mug,73,0.04,77
232,cubboard,73,0.04,84
233,recyclebin,73,0.04,72
234,knob,72,0.04,76
235,refrigerator,72,0.04,71
236,chair3,71,0.04,72
237,walldecoration,70,0.04,74
238,fireextinguisher,70,0.04,71
239,trash,70,0.04,73
240,windowsill,70,0.04,80
241,mat,70,0.04,74
242,notebook,69,0.04,72
243,partition,69,0.04,106
244,Tag,69,0.04,106
245,garbagecan,68,0.04,87
246,airconditioner,67,0.04,67
247,darkarea,67,0.04,67
248,cabinets,67,0.04,87
249,washbasin,67,0.04,69
250,notice,67,0.04,98
251,BOTTLE,67,0.04,67
252,windowframe,66,0.04,118
253,Cup,66,0.04,85
254,corkboard,65,0.04,67
255,soap,65,0.04,71
256,PILLOW,65,0.04,98
257,Counter,65,0.04,79
258,PICTURE,65,0.04,79
259,bedframe,65,0.04,77
260,trashbin,65,0.04,68
261,Bookshelf,65,0.04,88
262,CURTAIN,65,0.04,67
263,alarmclock,64,0.04,64
264,mousepad,64,0.04,73
265,cart,64,0.04,70
266,showercurtain,63,0.04,63
267,chest,63,0.04,64
268,Stool,63,0.04,75
269,tree,63,0.04,72
270,purse,62,0.04,63
271,sticker,62,0.04,69
272,dryeraseboard,62,0.04,66
273,cardboardbox,62,0.04,86
274,roof,62,0.04,61
275,coffeemachine,60,0.03,60
276,dryingrack,60,0.03,60
277,binder,60,0.03,67
278,moniter,60,0.03,78
279,glasswindow,60,0.03,62
280,cable,60,0.03,67
281,tap,60,0.03,62
282,WOOD,60,0.03,60
283,fireplace,59,0.03,61
284,ComputerMonitor,59,0.03,63
285,drawers,59,0.03,66
286,shade,59,0.03,81
287,label,59,0.03,138
288,stapler,58,0.03,62
289,faucethandle,58,0.03,60
290,LightSwitch,58,0.03,60
291,Board,58,0.03,76
292,boxes,58,0.03,61
293,Toilet,58,0.03,58
294,Flyer,58,0.03,68
295,tableleg,57,0.03,67
296,hat,56,0.03,57
297,suitcase,56,0.03,59
298,Laptop,56,0.03,58
299,STOOL,56,0.03,64
300,LAMP,56,0.03,67
301,Basket,56,0.03,58
302,folder,55,0.03,58
303,sheet,55,0.03,66
304,Glass,55,0.03,83
305,Phone,55,0.03,55
306,chairleg,55,0.03,77
307,closet,55,0.03,67
308,seat,55,0.03,169
309,Bench,55,0.03,66
310,pillows,54,0.03,55
311,chair4,54,0.03,57
312,Mailbox,54,0.03,52
313,can,53,0.03,56
314,bulletinboard,53,0.03,56
315,noticeboard,53,0.03,57
316,slab,53,0.03,53
317,Towel,53,0.03,71
318,Nightstand,53,0.03,63
319,cuttingboard,52,0.03,53
320,panel,52,0.03,61
321,Blanket,52,0.03,57
322,glassdoor,52,0.03,54
323,covemolding,52,0.03,88
324,decorativeplate,51,0.03,51
325,toothbrush,51,0.03,54
326,apple,51,0.03,54
327,windows,51,0.03,55
328,Headboard,51,0.03,52
329,chairback,51,0.03,66
330,sidetable,51,0.03,57
331,towelrod,50,0.03,50
332,tables,50,0.03,52
333,socket,50,0.03,53
334,plasticbag,50,0.03,58
335,shirt,50,0.03,65
336,endtable,50,0.03,63
337,Vent,50,0.03,60
338,bedsidetable,50,0.03,49
339,sponge,49,0.03,49
340,projector,49,0.03,51
341,files,49,0.03,53
342,CPU,49,0.03,52
343,BED,49,0.03,52
344,Column,49,0.03,76
345,man,49,0.03,50
346,comforter,48,0.03,53
347,device,48,0.03,52
348,desktop,48,0.03,68
349,Speaker,48,0.03,56
350,Papers,48,0.03,95
351,Microwave,48,0.03,52
352,art,48,0.03,67
353,Tile,48,0.03,57
354,stairs,47,0.03,58
355,Baseboard,47,0.03,62
356,banner,47,0.03,47
357,WhiteBoard,46,0.03,49
358,Cupboard,46,0.03,51
359,cover,46,0.03,46
360,FilingCabinet,46,0.03,54
361,wall3,46,0.03,46
362,BAG,46,0.03,50
363,trophy,45,0.03,46
364,FileCabinet,45,0.03,52
365,divider,45,0.03,55
366,Television,45,0.03,43
367,Chairs,45,0.03,124
368,locker,45,0.03,50
369,Cushion,45,0.03,94
370,Switch,44,0.03,61
371,plug,44,0.03,44
372,officechair,44,0.03,57
373,airvent,43,0.02,44
374,piano,43,0.02,43
375,wardrobe,43,0.02,42
376,switchbox,43,0.02,48
377,Plate,43,0.02,44
378,roomdivider,42,0.02,45
379,dvdplayer,42,0.02,43
380,radiator,42,0.02,43
381,pan,42,0.02,48
382,bedsheet,42,0.02,43
383,table1,42,0.02,42
384,table2,42,0.02,42
385,Doorway,42,0.02,45
386,chandelier,41,0.02,46
387,spicebottle,41,0.02,41
388,mask,41,0.02,41
389,knife,41,0.02,43
390,furniture,41,0.02,44
391,cot,41,0.02,43
392,walldecor,41,0.02,41
393,newspaper,41,0.02,42
394,wires,41,0.02,39
395,floor2,41,0.02,70
396,Wire,41,0.02,45
397,KEYBOARD,41,0.02,42
398,Chair2,41,0.02,45
399,coat,41,0.02,50
400,Pricetag,41,0.02,58
401,chair5,41,0.02,40
402,BookShelf,41,0.02,45
403,wastebin,41,0.02,40
404,urinal,41,0.02,54
405,exitsign,40,0.02,41
406,tape,40,0.02,55
407,floor1,40,0.02,39
408,Mattress,40,0.02,64
409,Bowl,39,0.02,42
410,CABINET,39,0.02,41
411,Faucet,39,0.02,44
412,curtains,39,0.02,50
413,jacket,38,0.02,41
414,lid,38,0.02,55
415,Frame,38,0.02,76
416,Countertop,38,0.02,39
417,Magazine,38,0.02,39
418,Eraser,38,0.02,40
419,Rack,38,0.02,38
420,MONITOR,38,0.02,48
421,ElectricalOutlet,38,0.02,42
422,umbrella,37,0.02,39
423,railing,37,0.02,55
424,Cord,37,0.02,60
425,LIGHT,37,0.02,34
426,brickwall,37,0.02,59
427,Armrest,37,0.02,40
428,leg,37,0.02,42
429,rangehood,36,0.02,36
430,ladder,36,0.02,36
431,bulb,36,0.02,37
432,Handle,36,0.02,50
433,Pipe,36,0.02,60
434,Backpack,36,0.02,40
435,Chalkboard,36,0.02,41
436,cardboard,35,0.02,38
437,shoes,35,0.02,35
438,scanner,35,0.02,37
439,Pot,35,0.02,56
440,storagebox,35,0.02,45
441,GarbageCan,35,0.02,37
442,toasteroven,34,0.02,34
443,Blinds,34,0.02,41
444,Wall2,34,0.02,46
445,top,34,0.02,35
446,dress,34,0.02,37
447,Vase,34,0.02,37
448,CoffeeTable,34,0.02,38
449,wallart,34,0.02,36
450,step,34,0.02,83
451,Clock,34,0.02,36
452,piller,34,0.02,40
453,roundtable,34,0.02,37
454,soapdispenser,34,0.02,34
455,toaster,33,0.02,33
456,luggage,33,0.02,32
457,computertower,33,0.02,35
458,Cable,33,0.02,95
459,CardboardBox,33,0.02,47
460,CLOTH,33,0.02,33
461,Drawers,33,0.02,40
462,celing,33,0.02,33
463,DRAWER,33,0.02,35
464,chair6,33,0.02,33
465,POT,33,0.02,33
466,Stairs,33,0.02,36
467,teakettle,32,0.02,32
468,toothpaste,32,0.02,31
469,pitcher,32,0.02,32
470,stereo,32,0.02,32
471,hanger,32,0.02,36
472,tvstand,32,0.02,32
473,Screen,32,0.02,39
474,Curtains,32,0.02,42
475,Lightswitch,32,0.02,32
476,plugpoint,32,0.02,32
477,Heater,32,0.02,38
478,Ottoman,32,0.02,42
479,TableLeg,32,0.02,47
480,PLANT,32,0.02,36
481,wallbottomdecor,32,0.02,32
482,COMPUTER,32,0.02,31
483,CHAIRS,32,0.02,40
484,pottedplant,32,0.02,32
485,cellphone,31,0.02,30
486,camera,31,0.02,38
487,WaterBottle,31,0.02,40
488,coffeemug,31,0.02,34
489,shadow,31,0.02,29
490,wallframe,31,0.02,31
491,floormate,31,0.02,30
492,DoorFrame,31,0.02,37
493,flyer,31,0.02,37
494,display,31,0.02,35
495,Desktop,31,0.02,55
496,tablecloth,30,0.02,31
497,Wall1,30,0.02,51
498,PictureFrame,30,0.02,38
499,MIRROR,30,0.02,31
500,Mug,30,0.02,31
501,clothing,30,0.02,35
502,Stand,30,0.02,33
503,wastebasket,30,0.02,36
504,Label,30,0.02,30
505,SIGN,30,0.02,40
506,BulletinBoard,30,0.02,32
507,PHOTO,30,0.02,29
508,laundrybasket,29,0.02,29
509,ball,29,0.02,34
510,kniferack,29,0.02,29
511,lock,29,0.02,35
512,powerstrip,29,0.02,28
513,ceilinglight,29,0.02,41
514,ComputerScreen,29,0.02,33
515,Cabinets,29,0.02,30
516,flowers,29,0.02,28
517,coffeemaker,29,0.02,30
518,rollingchair,29,0.02,29
519,tiles,29,0.02,27
520,poweroutlet,29,0.02,34
521,Photo,29,0.02,30
522,handrail,29,0.02,60
523,Cloth,28,0.02,36
524,tub,28,0.02,33
525,cords,28,0.02,32
526,electricaldevice,28,0.02,28
527,glasswall,28,0.02,35
528,BOARD,28,0.02,29
529,loveseat,28,0.02,31
530,deskchair,28,0.02,47
531,pencil,27,0.02,31
532,tissue,27,0.02,28
533,crib,27,0.02,29
534,walls,27,0.02,35
535,computertable,27,0.02,31
536,DoorHandle,27,0.02,28
537,bedspread,27,0.02,27
538,self,27,0.02,28
539,basin,27,0.02,29
540,Stapler,27,0.02,28
541,coffeecup,27,0.02,26
542,COUCH,27,0.02,38
543,BASKET,27,0.02,28
544,Telephone,27,0.02,27
545,STAND,27,0.02,31
546,matress,27,0.02,33
547,vanity,27,0.02,28
548,MOUSE,27,0.02,28
549,wallhanging,27,0.02,29
550,recyclingbin,27,0.02,30
551,Notice,27,0.02,31
552,chairbackrest,27,0.02,27
553,magnet,26,0.01,27
554,bunkbed,26,0.01,29
555,washingmachine,26,0.01,34
556,plaque,26,0.01,26
557,case,26,0.01,27
558,Pen,26,0.01,26
559,Remote,26,0.01,27
560,NightStand,26,0.01,29
561,decoration,26,0.01,36
562,Fridge,26,0.01,28
563,lighting,26,0.01,58
564,Bookcase,26,0.01,34
565,Machine,26,0.01,57
566,Drain,26,0.01,27
567,WHITEBOARD,26,0.01,29
568,Rail,26,0.01,27
569,Chairseat,26,0.01,26
570,headphones,25,0.01,26
571,calendar,25,0.01,24
572,vessel,25,0.01,25
573,chart,25,0.01,25
574,cd,25,0.01,25
575,bar,25,0.01,34
576,darkplace,25,0.01,25
577,Windows,25,0.01,45
578,shelving,25,0.01,32
579,TOWEL,25,0.01,24
580,tin,25,0.01,25
581,steps,25,0.01,32
582,Decoration,25,0.01,25
583,computerscreen,25,0.01,26
584,beam,25,0.01,32
585,lightfixture,25,0.01,35
586,TVstand,25,0.01,34
587,staircase,25,0.01,25
588,Comforter,25,0.01,27
589,PIPE,25,0.01,28
590,Chair1,25,0.01,25
591,rail,25,0.01,39
592,lable,25,0.01,23
593,Binder,24,0.01,45
594,item,24,0.01,24
595,lotion,24,0.01,24
596,computermouse,24,0.01,28
597,card,24,0.01,31
598,paperroll,24,0.01,26
599,OfficeChair,24,0.01,25
600,PowerStrip,24,0.01,23
601,Railing,24,0.01,46
602,bottles,24,0.01,24
603,pctower,24,0.01,47
604,BedFrame,24,0.01,29
605,MACHINE,24,0.01,24
606,NOTICE,24,0.01,24
607,stoveburner,23,0.01,23
608,lampshade,23,0.01,24
609,cubicle,23,0.01,27
610,Container,23,0.01,34
611,filler,23,0.01,23
612,Lights,23,0.01,26
613,Closet,23,0.01,29
614,Furniture,23,0.01,36
615,Thermostat,23,0.01,23
616,tablelegs,23,0.01,24
617,airduct,22,0.01,22
618,banana,22,0.01,22
619,showpiece,22,0.01,22
620,projectorscreen,22,0.01,22
621,toiletpaperholder,22,0.01,24
622,guitar,22,0.01,22
623,penstand,22,0.01,22
624,sheets,22,0.01,23
625,jug,22,0.01,23
626,wineglass,22,0.01,24
627,radio,22,0.01,24
628,Filecabinet,22,0.01,28
629,File,22,0.01,28
630,SINK,22,0.01,23
631,CUP,22,0.01,23
632,tool,22,0.01,25
633,TVStand,22,0.01,22
634,wheel,22,0.01,29
635,Shelves,22,0.01,22
636,FireAlarm,22,0.01,22
637,Chair3,22,0.01,29
638,chair7,22,0.01,23
639,walloutlet,22,0.01,24
640,sofa1,22,0.01,22
641,Panel,22,0.01,50
642,Tree,22,0.01,22
643,BOOKS,22,0.01,22
644,cabinethandle,22,0.01,29
645,globe,21,0.01,22
646,map,21,0.01,21
647,spoon,21,0.01,23
648,Notebook,21,0.01,23
649,calender,21,0.01,24
650,ComputerMouse,21,0.01,22
651,whitebox,21,0.01,21
652,DeskChair,21,0.01,24
653,Clothes,21,0.01,26
654,EndTable,21,0.01,28
655,tube,21,0.01,32
656,sofachair,21,0.01,21
657,Fan,21,0.01,21
658,cabin,21,0.01,25
659,Wires,21,0.01,27
660,trim,21,0.01,28
661,blind,21,0.01,33
662,floorboard,21,0.01,28
663,RecycleBin,21,0.01,26
664,woodenwall,21,0.01,21
665,Magzine,21,0.01,21
666,tapedispenser,20,0.01,21
667,modem,20,0.01,20
668,drawerhandle,20,0.01,25
669,quilt,20,0.01,21
670,posterboard,20,0.01,21
671,soapdish,20,0.01,20
672,doorlock,20,0.01,20
673,plastic,20,0.01,20
674,LAPTOP,20,0.01,21
675,CUPBOARD,20,0.01,23
676,cubiclewall,20,0.01,21
677,flowervase,20,0.01,20
678,sofas,20,0.01,21
679,electricalcord,20,0.01,22
680,Jacket,20,0.01,24
681,Refrigerator,20,0.01,20
682,plates,20,0.01,22
683,lights,20,0.01,26
684,Files,20,0.01,30
685,RecyclingBin,20,0.01,20
686,Pillows,20,0.01,21
687,FireExtinguisher,20,0.01,20
688,table3,20,0.01,20
689,barstool,20,0.01,22
690,TileFloor,20,0.01,29
691,Cart,20,0.01,21
692,bicycle,19,0.01,27
693,banister,19,0.01,28
694,plasticbox,19,0.01,21
695,car,19,0.01,28
696,molding,19,0.01,27
697,teapoy,19,0.01,19
698,Wall3,19,0.01,25
699,window1,19,0.01,19
700,DryEraseBoard,19,0.01,19
701,TABLELAMP,19,0.01,20
702,Misc,19,0.01,104
703,ToiletPaper,19,0.01,21
704,cieling,19,0.01,24
705,ad,19,0.01,20
706,Trash,19,0.01,22
707,Wastebin,19,0.01,20
708,Blackboard,19,0.01,22
709,chair8,19,0.01,20
710,PILLAR,19,0.01,21
711,ThrowPillow,19,0.01,21
712,Flowers,19,0.01,21
713,sofa2,19,0.01,20
714,coatrack,19,0.01,24
715,woodfloor,19,0.01,21
716,tug,19,0.01,19
717,urn,18,0.01,18
718,duster,18,0.01,18
719,blender,18,0.01,18
720,napkinholder,18,0.01,20
721,scissor,18,0.01,18
722,saltshaker,18,0.01,19
723,kitchenisland,18,0.01,18
724,spicerack,18,0.01,18
725,decorativeplatter,18,0.01,18
726,flask,18,0.01,18
727,envelope,18,0.01,18
728,scissors,18,0.01,18
729,paperbag,18,0.01,18
730,Marker,18,0.01,19
731,wallposter,18,0.01,18
732,Calendar,18,0.01,18
733,CubicleWall,18,0.01,37
734,COUNTER,18,0.01,18
735,pole,18,0.01,18
736,Waterbottle,18,0.01,20
737,wallphoto,18,0.01,18
738,WallArt,18,0.01,19
739,hook,18,0.01,18
740,Bucket,18,0.01,25
741,TRASHCAN,18,0.01,24
742,desklamp,18,0.01,17
743,towels,18,0.01,26
744,backsplash,18,0.01,24
745,wall4,18,0.01,18
746,ChalkBoard,18,0.01,18
747,throwpillow,18,0.01,17
748,ExitSign,18,0.01,18
749,Suitcase,18,0.01,19
750,electricoutlet,18,0.01,18
751,windowpane,18,0.01,19
752,squeezetube,17,0.01,17
753,faxmachine,17,0.01,18
754,deoderant,17,0.01,17
755,pianobench,17,0.01,17
756,alarm,17,0.01,17
757,scale,17,0.01,21
758,flag,17,0.01,17
759,CoffeeMaker,17,0.01,17
760,shelvingunit,17,0.01,23
761,Doorhandle,17,0.01,23
762,tabel,17,0.01,27
763,GLASS,17,0.01,19
764,bracket,17,0.01,39
765,DeskTop,17,0.01,17
766,building,17,0.01,18
767,curtin,17,0.01,17
768,pad,17,0.01,17
769,Cubicle,17,0.01,33
770,pictures,17,0.01,20
771,photograph,17,0.01,17
772,Price,17,0.01,97
773,chestofdrawers,17,0.01,19
774,storage,17,0.01,17
775,Projector,17,0.01,18
776,kabat,17,0.01,17
777,chair9,17,0.01,19
778,kettle,17,0.01,16
779,CABINETDOOR,17,0.01,18
780,Oven,17,0.01,18
781,walllamp,17,0.01,16
782,Step,17,0.01,21
783,PRICETAG,17,0.01,19
784,windowshade,17,0.01,17
785,tilefloor,17,0.01,20
786,Cardboardbox,17,0.01,23
787,garbagebag,16,0.01,17
788,filebox,16,0.01,16
789,postercase,16,0.01,16
790,windowshelf,16,0.01,16
791,powercord,16,0.01,21
792,CD,16,0.01,15
793,Refridgerator,16,0.01,18
794,DoorKnob,16,0.01,19
795,ComputerChair,16,0.01,17
796,ceilling,16,0.01,16
797,Lock,16,0.01,16
798,bascket,16,0.01,16
799,garbage,16,0.01,19
800,woodenrack,16,0.01,17
801,MousePad,16,0.01,15
802,Walls,16,0.01,16
803,stovetop,16,0.01,17
804,cartoon,16,0.01,16
805,Soap,16,0.01,17
806,TableTop,16,0.01,16
807,Coat,16,0.01,18
808,floorlamp,16,0.01,16
809,showcase,16,0.01,17
810,copier,16,0.01,15
811,statue,16,0.01,17
812,toiletpaperdispenser,16,0.01,16
813,Boxes,16,0.01,16
814,Wardrobe,16,0.01,16
815,cushionchair,16,0.01,17
816,CARPET,16,0.01,18
817,WASHBASE,16,0.01,16
818,watercooler,15,0.01,14
819,footrest,15,0.01,15
820,toothbrushholder,15,0.01,15
821,cablebox,15,0.01,15
822,fryingpan,15,0.01,15
823,papertoweldispenser,15,0.01,15
824,tablerunner,15,0.01,18
825,headphone,15,0.01,15
826,storagebin,15,0.01,36
827,fork,15,0.01,16
828,coffeepacket,15,0.01,15
829,clipboard,15,0.01,15
830,note,15,0.01,20
831,pillow1,15,0.01,15
832,Stove,15,0.01,15
833,Divider,15,0.01,19
834,Art,15,0.01,25
835,headset,15,0.01,15
836,shampoo,15,0.01,14
837,MAT,15,0.01,15
838,DUSTBIN,15,0.01,18
839,window2,15,0.01,16
840,door2,15,0.01,15
841,woodwall,15,0.01,13
842,hallway,15,0.01,14
843,book2,15,0.01,15
844,electronicdevice,15,0.01,15
845,ground,15,0.01,15
846,decor,15,0.01,15
847,blackbox,15,0.01,15
848,Trim,15,0.01,20
849,WallOutlet,15,0.01,14
850,diningtable,15,0.01,17
851,chord,15,0.01,18
852,Bin,15,0.01,17
853,rod,15,0.01,15
854,WindowFrame,15,0.01,17
855,copymachine,15,0.01,17
856,people,15,0.01,15
857,FRIDGE,15,0.01,15
858,room,15,0.01,15
859,Chair4,15,0.01,17
860,chairlegs,15,0.01,15
861,Armchair,15,0.01,15
862,Molding,15,0.01,38
863,Shoe,15,0.01,15
864,OBJECT,15,0.01,15
865,avocado,14,0.01,14
866,mailshelf,14,0.01,14
867,dvd,14,0.01,14
868,cleaner,14,0.01,14
869,menorah,14,0.01,14
870,deskdrawer,14,0.01,14
871,ashtray,14,0.01,14
872,monitorstand,14,0.01,27
873,BOWL,14,0.01,14
874,trashbag,14,0.01,13
875,bottile,14,0.01,14
876,toys,14,0.01,19
877,Doorknob,14,0.01,17
878,deskleg,14,0.01,15
879,ComputerTower,14,0.01,14
880,hinge,14,0.01,16
881,package,14,0.01,16
882,door1,14,0.01,14
883,stair,14,0.01,23
884,Flower,14,0.01,16
885,TrashBin,14,0.01,21
886,spraybottle,14,0.01,15
887,woodenchair,14,0.01,24
888,draw,14,0.01,15
889,backwall,14,0.01,18
890,SWITCH,14,0.01,12
891,LIGHTSWITCH,14,0.01,14
892,tilewall,14,0.01,14
893,VENT,14,0.01,16
894,DeskLamp,14,0.01,15
895,towelrack,14,0.01,14
896,SoapDispenser,14,0.01,15
897,cabnet,14,0.01,18
898,CoffeeMug,14,0.01,19
899,T.V,14,0.01,14
900,Firealarm,14,0.01,15
901,Urinal,14,0.01,30
902,Table2,14,0.01,19
903,stickynotes,14,0.01,14
904,PILLER,14,0.01,14
905,phillow,14,0.01,14
906,studentdesk,14,0.01,16
907,ATBLE,14,0.01,14
908,crockpot,13,0.01,13
909,saucer,13,0.01,13
910,key,13,0.01,14
911,medal,13,0.01,13
912,displayboard,13,0.01,13
913,stepstool,13,0.01,16
914,brick,13,0.01,13
915,bookend,13,0.01,13
916,broom,13,0.01,13
917,dvds,13,0.01,13
918,coffeepot,13,0.01,16
919,pillow2,13,0.01,13
920,powerplugpoint,13,0.01,13
921,CounterTop,13,0.01,25
922,papper,13,0.01,13
923,battery,13,0.01,17
924,Dustbin,13,0.01,13
925,PRINTER,13,0.01,13
926,Tray,13,0.01,18
927,papertowels,13,0.01,14
928,windo,13,0.01,15
929,book1,13,0.01,13
930,plasticbottle,13,0.01,23
931,Jar,13,0.01,18
932,doorwindow,13,0.01,14
933,windowblinds,13,0.01,16
934,Shoes,13,0.01,14
935,stage,13,0.01,19
936,PowerOutlet,13,0.01,13
937,Mat,13,0.01,18
938,Chairleg,13,0.01,13
939,BrickWall,13,0.01,17
940,CoatRack,13,0.01,15
941,bookshelves,13,0.01,14
942,thing,13,0.01,13
943,FAUCET,13,0.01,15
944,base,13,0.01,13
945,Podium,13,0.01,13
946,Banner,13,0.01,17
947,BASEBOARD,13,0.01,21
948,sweater,13,0.01,15
949,almirah,13,0.01,13
950,Random,13,0.01,71
